x,y,z,srp_score
1.02,0.16,0.0,0.03148053533508242
1.04,0.16,0.0,0.03070212834656278
1.06,0.16,0.0,0.026975069574629394
1.08,0.16,0.0,0.021410598960007753
1.1,0.16,0.0,0.014640974727167431
1.12,0.16,0.0,0.006416108222902131
1.1400000000000001,0.16,0.0,-0.0009753252372340495
1.1600000000000001,0.16,0.0,-0.004214343327079629
1.18,0.16,0.0,-0.0056242616938872916
0.02,0.18,0.0,-0.009762660001789146
0.04,0.18,0.0,-0.008901973906523265
0.06,0.18,0.0,-0.009099672728604038
0.08,0.18,0.0,0.0036371107222935013
0.1,0.18,0.0,0.0016419625958707085
0.12000000000000001,0.18,0.0,0.0031587308857629003
0.13999999999999999,0.18,0.0,0.0019116544786191797
0.16,0.18,0.0,-0.0006642832589519876
0.18,0.18,0.0,0.027841716988129796
0.19999999999999998,0.18,0.0,-0.0026972827707265018
0.22,0.18,0.0,-0.004076278887553394
0.24,0.18,0.0,-0.005722655173785431
0.26,0.18,0.0,-0.009570030893898246
0.28,0.18,0.0,0.02278667010542193
0.30000000000000004,0.18,0.0,0.01074565809814603
0.32,0.18,0.0,0.013630323271704454
0.34,0.18,0.0,0.023690236769199978
0.36000000000000004,0.18,0.0,0.035241755123558795
0.38,0.18,0.0,0.03470318379067634
0.4,0.18,0.0,0.008146505981334344
0.42000000000000004,0.18,0.0,0.008403210546368766
0.44,0.18,0.0,0.018986459113687147
0.46,0.18,0.0,0.04684041700687247
0.48000000000000004,0.18,0.0,0.009553301073566984
0.5,0.18,0.0,0.011431865094235617
0.52,0.18,0.0,0.00027645969821767763
0.54,0.18,0.0,0.014027865185154474
0.56,0.18,0.0,-0.0026625275757508186
0.5800000000000001,0.18,0.0,0.017846133583640993
0.6,0.18,0.0,0.004731107119691161
0.62,0.18,0.0,0.037459748411115164
0.64,0.18,0.0,6.425302691856618e-05
0.66,0.18,0.0,-0.0009716218951948976
0.68,0.18,0.0,-0.0027548309235507916
0.7000000000000001,0.18,0.0,-0.0018529510931887955
0.7200000000000001,0.18,0.0,0.0005624097908014215
0.74,0.18,0.0,0.0014951260286264717
0.76,0.18,0.0,0.0019218024996596294
0.78,0.18,0.0,-0.0009712743226851443
0.8,0.18,0.0,-0.005808291741298127
0.8200000000000001,0.18,0.0,-0.008203523875409667
0.8400000000000001,0.18,0.0,-0.00844289903553223
0.86,0.18,0.0,-0.003467740680680552
0.88,0.18,0.0,0.003699275325021043
0.9,0.18,0.0,0.011522762340664577
0.92,0.18,0.0,0.020506311188173164
0.9400000000000001,0.18,0.0,0.0269298589675819
0.9600000000000001,0.18,0.0,0.029707553581252415
0.98,0.18,0.0,0.028406694575275174
1.0,0.18,0.0,0.023503691019596786
1.02,0.18,0.0,0.015140661211176557
1.04,0.18,0.0,0.008215218142291274
1.06,0.18,0.0,0.0020464844396820277
1.08,0.18,0.0,-0.002956716224869201
1.1,0.18,0.0,-0.006401884836686717
1.12,0.18,0.0,-0.008167941663258302
1.1400000000000001,0.18,0.0,-0.010709474907263997
1.1600000000000001,0.18,0.0,-0.009526516462951067
1.18,0.18,0.0,-0.005838146492278383
0.02,0.19999999999999998,0.0,0.0003146538412295369
0.04,0.19999999999999998,0.0,-0.0040313670916291055
0.06,0.19999999999999998,0.0,-0.00717186634546958
0.08,0.19999999999999998,0.0,-0.004858747639365454
0.1,0.19999999999999998,0.0,-0.0037241784855317098
0.12000000000000001,0.19999999999999998,0.0,-0.001500195547481866
0.13999999999999999,0.19999999999999998,0.0,-0.0017628773835690892
0.16,0.19999999999999998,0.0,0.00216377219627872
0.18,0.19999999999999998,0.0,0.0006851144273113147
0.19999999999999998,0.19999999999999998,0.0,0.007586544110704668
0.22,0.19999999999999998,0.0,0.0355727502713096
0.24,0.19999999999999998,0.0,-0.002938934251167947
0.26,0.19999999999999998,0.0,0.001926599970116357
0.28,0.19999999999999998,0.0,-0.018476329383015182
0.30000000000000004,0.19999999999999998,0.0,0.0250069989362009
0.32,0.19999999999999998,0.0,0.008073657162307568
0.34,0.19999999999999998,0.0,-0.017243326731023943
0.36000000000000004,0.19999999999999998,0.0,0.012541735382360659
0.38,0.19999999999999998,0.0,0.05910603072652276
0.4,0.19999999999999998,0.0,-0.005823173576818167
0.42000000000000004,0.19999999999999998,0.0,0.023271264916803373
0.44,0.19999999999999998,0.0,0.04834457735413125
0.46,0.19999999999999998,0.0,0.0022459385322661854
0.48000000000000004,0.19999999999999998,0.0,0.04182377291378498
0.5,0.19999999999999998,0.0,-0.009107041562815645
0.52,0.19999999999999998,0.0,0.027320427854002773
0.54,0.19999999999999998,0.0,-0.005470908739626048
0.56,0.19999999999999998,0.0,0.0005736855813550939
0.5800000000000001,0.19999999999999998,0.0,-0.00996771337416733
0.6,0.19999999999999998,0.0,0.018473436410953004
0.62,0.19999999999999998,0.0,-0.004669216599589966
0.64,0.19999999999999998,0.0,-0.005001952572481892
0.66,0.19999999999999998,0.0,-0.002848516862325859
0.68,0.19999999999999998,0.0,-0.0018832207242430437
0.7000000000000001,0.19999999999999998,0.0,-0.0015465887288614829
0.7200000000000001,0.19999999999999998,0.0,-0.001883533680750604
0.74,0.19999999999999998,0.0,-0.004912170381633364
